label,value,precision,recall,f1-score,support,accuracy
storm,1,0.7662337662337663,0.6107660455486542,0.6797235023041475,483,0.9465898174831893
fire,0,0.9913110639119521,0.9978620019436346,0.9945757458349477,5145,0.9892411143131604
fire,1,0.5769230769230769,0.25,0.3488372093023256,60,0.9892411143131604
earthquake,0,0.9708454810495627,0.9921259842519685,0.9813703820650459,4699,0.9659942363112392
earthquake,1,0.9081885856079405,0.7233201581027668,0.8052805280528053,506,0.9659942363112392
cold,0,0.9862162686856921,0.9972516686297606,0.9917032698877501,5094,0.983669548511047
cold,1,0.7407407407407407,0.36036036036036034,0.4848484848484848,111,0.983669548511047
other_weather,0,0.9518685188808452,0.9896257119609438,0.9703799740700109,4916,0.9429394812680115
other_weather,1,0.4574468085106383,0.14878892733564014,0.2245430809399478,289,0.9429394812680115
direct_report,0,0.8909297052154195,0.9361448653800334,0.9129778087603114,4197,0.8560999039385206
direct_report,1,0.6628930817610063,0.5228174603174603,0.5845812534664449,1008,0.8560999039385206
